CIDADE,expectativa_total,total_liderancas,peso_medio_liderancas,forca_media_local,score_medio,score_maximo,score_municipal_v6,cidade_norm,prefeito_apoia,sentimento_local_txt,distancia_tuntum_km,bonus_prefeito,score_proximidade,score_sentimento_local,fator_ancora_v7,score_municipal_v7,prioridade_v7,base_eleitoral_v8,peso_eleitoral,score_municipal_v8,prioridade_v8,cenario_conservador_v8,cenario_realista_v8,cenario_forte_v8
Tuntum,10000.0,1,100.0,100.0,100.0,100.0,100.0,tuntum,1,alto,0.0,15,100,85,100,84.25,A,50000.0,85,78.8125,B,9000.0,10000.0,11500.0
Presidente Dutra,1500.0,1,70.0,80.0,76.5,76.5,75.6,presidente dutra,0,medio,75.0,0,85,60,75,62.42999999999999,C,7500.0,40,54.6075,D,1350.0,1500.0,1724.9999999999998
Capinzal,,1,100.0,100.0,85.0,85.0,94.0,capinzal,0,medio,250.0,0,55,60,50,58.45,C,,100,54.3625,D,,,
Bacabal,,1,70.0,100.0,74.5,74.5,80.8,bacabal,0,medio,250.0,0,55,60,50,54.49,C,,100,53.3725,D,,,
Monção,,1,65.0,35.0,50.0,50.0,50.0,monção,0,medio,250.0,0,55,60,50,45.25,D,,100,51.0625,D,,,
Dom Pedro,2000.0,2,52.5,57.5,62.5,76.5,63.6,dom pedro,0,medio,135.0,0,70,60,75,56.58,C,10000.0,40,50.894999999999996,D,1800.0,2000.0,2300.0
Santa Rita,,0,35.0,35.0,39.5,39.5,36.8,santa rita,0,medio,250.0,0,55,60,50,41.29,D,,100,50.0725,D,,,
São Luís,,0,35.0,35.0,39.5,39.5,36.8,são luís,0,medio,250.0,0,55,60,50,41.29,D,,100,50.0725,D,,,
Barra do Corda,1500.0,1,35.0,35.0,48.5,48.5,40.400000000000006,barra do corda,0,medio,115.0,0,70,60,75,49.620000000000005,D,7500.0,40,49.155,D,1350.0,1500.0,1724.9999999999998
Grajaú,1000.0,1,100.0,100.0,85.0,85.0,94.0,grajaú,0,medio,250.0,0,55,60,50,58.45,C,5000.0,40,45.3625,D,900.0,1000.0,1150.0
Apicum-Açu,900.0,1,100.0,100.0,85.0,85.0,94.0,apicum-açu,0,medio,250.0,0,55,60,50,58.45,C,4500.0,40,45.3625,D,810.0,900.0,1035.0
Paraibano,500.0,1,100.0,100.0,85.0,85.0,94.0,paraibano,0,medio,250.0,0,55,60,50,58.45,C,2500.0,40,45.3625,D,450.0,500.0,575.0
Mirador,500.0,1,100.0,100.0,85.0,85.0,94.0,mirador,0,medio,250.0,0,55,60,50,58.45,C,2500.0,40,45.3625,D,450.0,500.0,575.0
Estreito,1500.0,1,100.0,100.0,85.0,85.0,94.0,estreito,0,medio,250.0,0,55,60,50,58.45,C,7500.0,40,45.3625,D,1350.0,1500.0,1724.9999999999998
Jenipapo dos Vieiras,700.0,1,100.0,100.0,85.0,85.0,94.0,jenipapo dos vieiras,0,medio,250.0,0,55,60,50,58.45,C,3500.0,40,45.3625,D,630.0,700.0,804.9999999999999
Jatobá,1200.0,1,100.0,100.0,85.0,85.0,94.0,jatobá,0,medio,250.0,0,55,60,50,58.45,C,6000.0,40,45.3625,D,1080.0,1200.0,1380.0
Esperantinópolis,800.0,1,100.0,100.0,85.0,85.0,94.0,esperantinópolis,0,medio,250.0,0,55,60,50,58.45,C,4000.0,40,45.3625,D,720.0,800.0,919.9999999999999
São Luís Gonzaga do MA,500.0,1,100.0,100.0,85.0,85.0,94.0,são luís gonzaga do ma,0,medio,250.0,0,55,60,50,58.45,C,2500.0,40,45.3625,D,450.0,500.0,575.0
Trizidela do Vale,300.0,1,100.0,100.0,85.0,85.0,94.0,trizidela do vale,0,medio,250.0,0,55,60,50,58.45,C,1500.0,40,45.3625,D,270.0,300.0,345.0
Santa Helena,350.0,1,100.0,100.0,85.0,85.0,94.0,santa helena,0,medio,250.0,0,55,60,50,58.45,C,1750.0,40,45.3625,D,315.0,350.0,402.49999999999994
Penalva,500.0,1,100.0,100.0,85.0,85.0,94.0,penalva,0,medio,250.0,0,55,60,50,58.45,C,2500.0,40,45.3625,D,450.0,500.0,575.0
Gov. Eugênio Barros,200.0,1,100.0,100.0,85.0,85.0,94.0,gov. eugênio barros,0,medio,250.0,0,55,60,50,58.45,C,1000.0,40,45.3625,D,180.0,200.0,229.99999999999997
Gonçalves Dias,1200.0,1,100.0,100.0,85.0,85.0,94.0,gonçalves dias,0,medio,250.0,0,55,60,50,58.45,C,6000.0,40,45.3625,D,1080.0,1200.0,1380.0
Santa Filomena do MA,1000.0,1,100.0,100.0,85.0,85.0,94.0,santa filomena do ma,0,medio,250.0,0,55,60,50,58.45,C,5000.0,40,45.3625,D,900.0,1000.0,1150.0
Morros,600.0,1,100.0,80.0,78.0,78.0,85.2,morros,0,medio,250.0,0,55,60,50,55.81,C,3000.0,40,44.7025,D,540.0,600.0,690.0
Serrano do Maranhão,200.0,1,100.0,80.0,78.0,78.0,85.2,serrano do maranhão,0,medio,250.0,0,55,60,50,55.81,C,1000.0,40,44.7025,D,180.0,200.0,229.99999999999997
São Domingos do MA,2000.0,1,70.0,100.0,74.5,74.5,80.8,são domingos do ma,0,medio,250.0,0,55,60,50,54.49,C,10000.0,40,44.3725,D,1800.0,2000.0,2300.0
São José de Ribamar,700.0,1,70.0,100.0,74.5,74.5,80.8,são josé de ribamar,0,medio,250.0,0,55,60,50,54.49,C,3500.0,40,44.3725,D,630.0,700.0,804.9999999999999
Imperatriz,500.0,1,70.0,100.0,74.5,74.5,80.8,imperatriz,0,medio,250.0,0,55,60,50,54.49,C,2500.0,40,44.3725,D,450.0,500.0,575.0
São João dos Patos,1500.0,1,70.0,100.0,74.5,74.5,80.8,são joão dos patos,0,medio,250.0,0,55,60,50,54.49,C,7500.0,40,44.3725,D,1350.0,1500.0,1724.9999999999998
Icatu,800.0,1,70.0,100.0,74.5,74.5,80.8,icatu,0,medio,250.0,0,55,60,50,54.49,C,4000.0,40,44.3725,D,720.0,800.0,919.9999999999999
Turiaçu,500.0,1,70.0,80.0,67.5,67.5,72.0,turiaçu,0,medio,250.0,0,55,60,50,51.85,C,2500.0,40,43.7125,D,450.0,500.0,575.0
Anajatuba,500.0,1,70.0,80.0,67.5,67.5,72.0,anajatuba,0,medio,250.0,0,55,60,50,51.85,C,2500.0,40,43.7125,D,450.0,500.0,575.0
Pirapemas,500.0,1,70.0,80.0,67.5,67.5,72.0,pirapemas,0,medio,250.0,0,55,60,50,51.85,C,2500.0,40,43.7125,D,450.0,500.0,575.0
Tufilândia,400.0,1,70.0,80.0,67.5,67.5,72.0,tufilândia,0,medio,250.0,0,55,60,50,51.85,C,2000.0,40,43.7125,D,360.0,400.0,459.99999999999994
Timon,1500.0,1,70.0,80.0,67.5,67.5,72.0,timon,0,medio,250.0,0,55,60,50,51.85,C,7500.0,40,43.7125,D,1350.0,1500.0,1724.9999999999998
Coroatá,200.0,1,70.0,80.0,67.5,67.5,72.0,coroatá,0,medio,250.0,0,55,60,50,51.85,C,1000.0,40,43.7125,D,180.0,200.0,229.99999999999997
Amarante do MA,1500.0,1,70.0,80.0,67.5,67.5,72.0,amarante do ma,0,medio,250.0,0,55,60,50,51.85,C,7500.0,40,43.7125,D,1350.0,1500.0,1724.9999999999998
Mata Roma,450.0,1,70.0,80.0,67.5,67.5,72.0,mata roma,0,medio,250.0,0,55,60,50,51.85,C,2250.0,40,43.7125,D,405.0,450.0,517.5
Bacabeira,300.0,1,100.0,35.0,62.25,62.25,65.4,bacabeira,0,medio,250.0,0,55,60,50,49.870000000000005,D,1500.0,40,43.2175,D,270.0,300.0,345.0
Nina Rodrigues,100.0,1,100.0,35.0,62.25,62.25,65.4,nina rodrigues,0,medio,250.0,0,55,60,50,49.870000000000005,D,500.0,40,43.2175,D,90.0,100.0,114.99999999999999
Governador Archer,1000.0,1,100.0,35.0,62.25,62.25,65.4,governador archer,0,medio,250.0,0,55,60,50,49.870000000000005,D,5000.0,40,43.2175,D,900.0,1000.0,1150.0
Carutapera,200.0,1,70.0,60.0,60.5,60.5,63.2,carutapera,0,medio,250.0,0,55,60,50,49.21,D,1000.0,40,43.0525,D,180.0,200.0,229.99999999999997
Itapecuru mirim,250.0,1,70.0,60.0,60.5,60.5,63.2,itapecuru mirim,0,medio,250.0,0,55,60,50,49.21,D,1250.0,40,43.0525,D,225.0,250.0,287.5
Bacuri,500.0,1,70.0,60.0,60.5,60.5,63.2,bacuri,0,medio,250.0,0,55,60,50,49.21,D,2500.0,40,43.0525,D,450.0,500.0,575.0
Coelho Neto,150.0,1,70.0,60.0,60.5,60.5,63.2,coelho neto,0,medio,250.0,0,55,60,50,49.21,D,750.0,40,43.0525,D,135.0,150.0,172.5
Paço do Lumiar,100.0,1,70.0,60.0,60.5,60.5,63.2,paço do lumiar,0,medio,250.0,0,55,60,50,49.21,D,500.0,40,43.0525,D,90.0,100.0,114.99999999999999
Amapá do Maranhão,300.0,1,70.0,60.0,60.5,60.5,63.2,amapá do maranhão,0,medio,250.0,0,55,60,50,49.21,D,1500.0,40,43.0525,D,270.0,300.0,345.0
São João do Soter,200.0,1,70.0,60.0,60.5,60.5,63.2,são joão do soter,0,medio,250.0,0,55,60,50,49.21,D,1000.0,40,43.0525,D,180.0,200.0,229.99999999999997
Senador Alexandre Costa,300.0,1,70.0,60.0,60.5,60.5,63.2,senador alexandre costa,0,medio,250.0,0,55,60,50,49.21,D,1500.0,40,43.0525,D,270.0,300.0,345.0
Maracaçumé,300.0,1,70.0,60.0,60.5,60.5,63.2,maracaçumé,0,medio,250.0,0,55,60,50,49.21,D,1500.0,40,43.0525,D,270.0,300.0,345.0
Vargem Grande,300.0,1,70.0,60.0,60.5,60.5,63.2,vargem grande,0,medio,250.0,0,55,60,50,49.21,D,1500.0,40,43.0525,D,270.0,300.0,345.0
Presidente Sarney,100.0,1,70.0,60.0,60.5,60.5,63.2,presidente sarney,0,medio,250.0,0,55,60,50,49.21,D,500.0,40,43.0525,D,90.0,100.0,114.99999999999999
Peri Mirim,200.0,1,70.0,60.0,60.5,60.5,63.2,peri mirim,0,medio,250.0,0,55,60,50,49.21,D,1000.0,40,43.0525,D,180.0,200.0,229.99999999999997
Olho D´agua das Cunhas,150.0,1,65.0,60.0,58.75,58.75,61.0,olho d´agua das cunhas,0,medio,250.0,0,55,60,50,48.55,D,750.0,40,42.8875,D,135.0,150.0,172.5
Pedreiras,300.0,1,65.0,60.0,58.75,58.75,61.0,pedreiras,0,medio,250.0,0,55,60,50,48.55,D,1500.0,40,42.8875,D,270.0,300.0,345.0
Arari,100.0,1,65.0,60.0,58.75,58.75,61.0,arari,0,medio,250.0,0,55,60,50,48.55,D,500.0,40,42.8875,D,90.0,100.0,114.99999999999999
Viana,200.0,1,65.0,60.0,58.75,58.75,61.0,viana,0,medio,250.0,0,55,60,50,48.55,D,1000.0,40,42.8875,D,180.0,200.0,229.99999999999997
Lago da Pedra,1500.0,2,52.5,57.5,53.5,67.5,60.0,lago da pedra,0,medio,250.0,0,55,60,50,48.25,D,7500.0,40,42.8125,D,1350.0,1500.0,1724.9999999999998
Fortaleza dos Nogueiras,300.0,1,35.0,80.0,55.25,55.25,56.6,fortaleza dos nogueiras,0,medio,250.0,0,55,60,50,47.23,D,1500.0,40,42.5575,D,270.0,300.0,345.0
Buriticupu,500.0,1,35.0,80.0,55.25,55.25,56.6,buriticupu,0,medio,250.0,0,55,60,50,47.23,D,2500.0,40,42.5575,D,450.0,500.0,575.0
Pindaré-Mirim,500.0,1,35.0,80.0,55.25,55.25,56.6,pindaré-mirim,0,medio,250.0,0,55,60,50,47.23,D,2500.0,40,42.5575,D,450.0,500.0,575.0
Paulo Ramos,800.0,1,70.0,35.0,51.75,51.75,52.2,paulo ramos,0,medio,250.0,0,55,60,50,45.91,D,4000.0,40,42.2275,D,720.0,800.0,919.9999999999999
Buritirana,250.0,1,70.0,35.0,51.75,51.75,52.2,buritirana,0,medio,250.0,0,55,60,50,45.91,D,1250.0,40,42.2275,D,225.0,250.0,287.5
Governador Luiz Rocha,200.0,1,70.0,35.0,51.75,51.75,52.2,governador luiz rocha,0,medio,250.0,0,55,60,50,45.91,D,1000.0,40,42.2275,D,180.0,200.0,229.99999999999997
Boa Vista do Gurupi,100.0,1,70.0,35.0,51.75,51.75,52.2,boa vista do gurupi,0,medio,250.0,0,55,60,50,45.91,D,500.0,40,42.2275,D,90.0,100.0,114.99999999999999
Fortuna,100.0,1,70.0,35.0,51.75,51.75,52.2,fortuna,0,medio,250.0,0,55,60,50,45.91,D,500.0,40,42.2275,D,90.0,100.0,114.99999999999999
Bom Jardim,1000.0,1,70.0,35.0,51.75,51.75,52.2,bom jardim,0,medio,250.0,0,55,60,50,45.91,D,5000.0,40,42.2275,D,900.0,1000.0,1150.0
Luís Domingues,100.0,1,70.0,35.0,51.75,51.75,52.2,luís domingues,0,medio,250.0,0,55,60,50,45.91,D,500.0,40,42.2275,D,90.0,100.0,114.99999999999999
Palmeirândia,100.0,1,65.0,35.0,50.0,50.0,50.0,palmeirândia,0,medio,250.0,0,55,60,50,45.25,D,500.0,40,42.0625,D,90.0,100.0,114.99999999999999
Arame,1000.0,1,65.0,35.0,50.0,50.0,50.0,arame,0,medio,250.0,0,55,60,50,45.25,D,5000.0,40,42.0625,D,900.0,1000.0,1150.0
São Vicente Ferrer,600.0,1,35.0,35.0,39.5,39.5,36.8,são vicente ferrer,0,medio,250.0,0,55,60,50,41.29,D,3000.0,40,41.0725,D,540.0,600.0,690.0
Chapadinha,500.0,1,35.0,35.0,39.5,39.5,36.8,chapadinha,0,medio,250.0,0,55,60,50,41.29,D,2500.0,40,41.0725,D,450.0,500.0,575.0
Bom Jesus das Selvas,600.0,1,35.0,35.0,39.5,39.5,36.8,bom jesus das selvas,0,medio,250.0,0,55,60,50,41.29,D,3000.0,40,41.0725,D,540.0,600.0,690.0
Lago Verde,600.0,1,35.0,35.0,39.5,39.5,36.8,lago verde,0,medio,250.0,0,55,60,50,41.29,D,3000.0,40,41.0725,D,540.0,600.0,690.0
São João Batista,200.0,1,35.0,35.0,39.5,39.5,36.8,são joão batista,0,medio,250.0,0,55,60,50,41.29,D,1000.0,40,41.0725,D,180.0,200.0,229.99999999999997
Açailândia,500.0,1,35.0,35.0,39.5,39.5,36.8,açailândia,0,medio,250.0,0,55,60,50,41.29,D,2500.0,40,41.0725,D,450.0,500.0,575.0
São Bernardo,100.0,1,35.0,35.0,39.5,39.5,36.8,são bernardo,0,medio,250.0,0,55,60,50,41.29,D,500.0,40,41.0725,D,90.0,100.0,114.99999999999999
Anapurus,400.0,1,35.0,35.0,39.5,39.5,36.8,anapurus,0,medio,250.0,0,55,60,50,41.29,D,2000.0,40,41.0725,D,360.0,400.0,459.99999999999994
Senador La Rocque,500.0,1,35.0,35.0,39.5,39.5,36.8,senador la rocque,0,medio,250.0,0,55,60,50,41.29,D,2500.0,40,41.0725,D,450.0,500.0,575.0
S. Raimundo das Mangabeiras,1250.0,1,35.0,35.0,39.5,39.5,36.8,s. raimundo das mangabeiras,0,medio,250.0,0,55,60,50,41.29,D,6250.0,40,41.0725,D,1125.0,1250.0,1437.5
Santo Antônio dos Lopes,250.0,1,35.0,35.0,39.5,39.5,36.8,santo antônio dos lopes,0,medio,250.0,0,55,60,50,41.29,D,1250.0,40,41.0725,D,225.0,250.0,287.5
Milagres do Maranhão,700.0,1,35.0,35.0,39.5,39.5,36.8,milagres do maranhão,0,medio,250.0,0,55,60,50,41.29,D,3500.0,40,41.0725,D,630.0,700.0,804.9999999999999
Gov. Nunes Freire,100.0,1,35.0,35.0,39.5,39.5,36.8,gov. nunes freire,0,medio,250.0,0,55,60,50,41.29,D,500.0,40,41.0725,D,90.0,100.0,114.99999999999999
São Benedito,100.0,1,35.0,35.0,39.5,39.5,36.8,são benedito,0,medio,250.0,0,55,60,50,41.29,D,500.0,40,41.0725,D,90.0,100.0,114.99999999999999
Montes Altos,100.0,1,35.0,35.0,39.5,39.5,36.8,montes altos,0,medio,250.0,0,55,60,50,41.29,D,500.0,40,41.0725,D,90.0,100.0,114.99999999999999
Miranda do Norte,150.0,1,35.0,35.0,39.5,39.5,36.8,miranda do norte,0,medio,250.0,0,55,60,50,41.29,D,750.0,40,41.0725,D,135.0,150.0,172.5
Santa Inês,200.0,1,35.0,35.0,39.5,39.5,36.8,santa inês,0,medio,250.0,0,55,60,50,41.29,D,1000.0,40,41.0725,D,180.0,200.0,229.99999999999997
Lagoa do Mato,300.0,1,35.0,35.0,39.5,39.5,36.8,lagoa do mato,0,medio,250.0,0,55,60,50,41.29,D,1500.0,40,41.0725,D,270.0,300.0,345.0
Ribeirãozinho/ Edison Lobão,600.0,1,35.0,35.0,39.5,39.5,36.8,ribeirãozinho/ edison lobão,0,medio,250.0,0,55,60,50,41.29,D,3000.0,40,41.0725,D,540.0,600.0,690.0
Ribamar Fiquene,150.0,1,35.0,35.0,39.5,39.5,36.8,ribamar fiquene,0,medio,250.0,0,55,60,50,41.29,D,750.0,40,41.0725,D,135.0,150.0,172.5
Fernando Falcão,1000.0,1,35.0,35.0,39.5,39.5,36.8,fernando falcão,0,medio,250.0,0,55,60,50,41.29,D,5000.0,40,41.0725,D,900.0,1000.0,1150.0
Vitorino Freire,300.0,1,35.0,35.0,39.5,39.5,36.8,vitorino freire,0,medio,250.0,0,55,60,50,41.29,D,1500.0,40,41.0725,D,270.0,300.0,345.0
Pinheiro,100.0,1,35.0,35.0,39.5,39.5,36.8,pinheiro,0,medio,250.0,0,55,60,50,41.29,D,500.0,40,41.0725,D,90.0,100.0,114.99999999999999
Pastos Bons,250.0,1,35.0,35.0,39.5,39.5,36.8,pastos bons,0,medio,250.0,0,55,60,50,41.29,D,1250.0,40,41.0725,D,225.0,250.0,287.5
Joselândia,350.0,1,35.0,35.0,39.5,39.5,36.8,joselândia,0,medio,250.0,0,55,60,50,41.29,D,1750.0,40,41.0725,D,315.0,350.0,402.49999999999994
Pres. Juscelino ,100.0,1,35.0,35.0,39.5,39.5,36.8,pres. juscelino,0,medio,250.0,0,55,60,50,41.29,D,500.0,40,41.0725,D,90.0,100.0,114.99999999999999
João Lisboa,150.0,1,35.0,35.0,39.5,39.5,36.8,joão lisboa,0,medio,250.0,0,55,60,50,41.29,D,750.0,40,41.0725,D,135.0,150.0,172.5
Cândido Mendes,100.0,1,35.0,30.0,37.75,37.75,34.6,cândido mendes,0,medio,250.0,0,55,60,50,40.63,D,500.0,40,40.9075,D,90.0,100.0,114.99999999999999
Codó,200.0,1,35.0,30.0,37.75,37.75,34.6,codó,0,medio,250.0,0,55,60,50,40.63,D,1000.0,40,40.9075,D,180.0,200.0,229.99999999999997
